Lake,Year,Date,Month,LAB ID,Depth,Conductivity,TDS,Hardness,pH,TSS,IB,Turbidity,Alkalinity,Bicarbonate,Carbonate,Hydroxide,Chloride,Fluoride,Sulphate,AmmoniaN,NitrateN,NitriteN,Orthophosphate ,Phosphorus,TKN,Total Nitrogen,Aluminum,Antimony ,Arsenic,Barium ,Beryllium,Bismuth,Boron ,Cadmium,Calcium,Cesium,Chromium,Cobalt,Copper,Iron,Lead,Lithium,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Potassium,Rubidium,Selenium,Silicon,Silver,Sodium,Strontium,Sulfur,Tellurium,Thallium,Thorium,Tin,Titanium,Tungsten,Uranium,Vanadium,Zinc,Zirconium,TOC,Radium.226,Notes,Nitrate and Nitrite (as N),Anion Sum,Cation Sum,,,,,
Moose,1994,6-Jul-94,July,,9,11.7,8,4.21,6.46,<1,,0.34,4.1,4.1,<1.0,,0.7,,<1.0,0.011,<0.005,0.001,0.003,0.004,,,0.026,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.788,,<0.001,<0.001,0.0006,0.02,0.001,,0.548,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,0.00002,,,,,,,,,,0.00004,<0.005,<0.001,,,,,,,,,,,,
Moose,1994,22-Aug-94,August,,1,13,8,4.47,6.61,<1,,0.6,5.1,5.1,<1.0,,<0.5,,<1.0,0.007,0.005,0.002,0.002,0.008,,,0.017,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.797,,<0.001,<0.001,0.0013,0.03,0.001,,0.612,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00002,<0.005,<0.001,,,,,,,,,,,,
Moose,1994,22-Aug-94,August,,2,13,8,4.47,6.56,<1,,0.5,5.1,5.1,<1.0,,<0.5,,<1.0,0.013,0.005,0.001,0.002,0.007,,,0.017,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.803,,<0.001,<0.001,0.0009,0.03,0.002,,0.611,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00002,<0.005,<0.001,,,,,,,,,,,,
Moose,1994,22-Aug-94,August,,4,13.2,7,4.43,6.56,<1,,0.7,5,5,<1.0,,<0.5,,<1.0,0.008,0.006,0.002,0.004,0.009,,,0.016,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.81,,<0.001,<0.001,0.0014,0.03,0.001,,0.604,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00003,<0.005,<0.001,,,,,,,,,,,,
Moose,1994,22-Aug-94,August,,6,13.7,8,4.47,6.68,<1,,0.7,4,4,<1.0,,<0.5,,1.1,0.009,<0.005,0.002,0.002,0.005,,,0.017,<0.0001,<0.0001,<0.010,<0.003,,<0.050,0.0001,0.814,,<0.001,<0.001,0.0013,0.03,<0.001,,0.602,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00002,<0.005,<0.001,,,,,,,,,,,,
Moose,1994,22-Aug-94,August,,8,12.8,7,4.46,6.59,1,,0.6,5.3,5.3,<1.0,,<0.5,,1,0.007,<0.005,0.001,0.002,0.005,,,0.015,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.8,,<0.001,<0.001,0.001,0.03,<0.001,,0.601,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,0.00002,<0.005,0.003,,,,,,,,,,,,
S2,1994,7-Jul-94,July,,5,12.2,8,3.73,6.34,<1,,0.4,3.5,3.5,<1.0,,<0.5,,<1.0,<0.005,<0.005,0.001,0.002,0.004,,,0.013,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.764,,<0.001,<0.001,0.0008,0.01,<0.001,,0.473,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,0.00001,,,,,,,,,,0.00002,<0.005,<0.001,,,,,,,,,,,,
S2,1994,14-Aug-94,August,,4,11.5,9,3.86,6.4,<1,,0.35,2.9,2.9,<1.0,,0.7,,2,<0.005,<0.005,<0.001,0.002,0.003,,,0.007,<0.0001,0.0002,<0.010,<0.003,,<0.050,<0.0001,0.803,,<0.001,<0.001,<0.0005,<0.01,<0.001,,0.461,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,<0.00001,<0.005,<0.001,,,,,,,,,,,,
S3,1994,7-Jul-94,July,,10,12,8,3.91,6.31,<1,,0.3,3.5,3.5,<1.0,,0.5,,<1.0,<0.005,<0.005,0.002,0.003,0.004,,,0.011,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.796,,<0.001,<0.001,0.0009,<0.01,<0.001,,0.467,<0.005,<0.00005,<0.001,0.001,,,<0.0005,,0.00001,,,,,,,,,,0.00001,<0.005,<0.001,,,,,,,,,,,,
S3,1994,14-Aug-94,August,,8,11.4,7,3.88,6.37,2,,0.22,3.6,3.6,<1.0,,0.7,,<1.0,<0.005,<0.005,<0.001,0.002,0.005,,,0.011,<0.0001,0.0002,<0.010,<0.003,,<0.050,<0.0001,0.788,,<0.001,<0.001,0.0005,<0.01,<0.001,,0.465,<0.005,<0.00005,<0.001,<0.001,,,<0.0005,,<0.00001,,,,,,,,,,<0.00001,<0.005,<0.001,,,,,,,,,,,,
Slipper,1994,7-Jul-94,July,,1,11.2,8,2.84,6.3,<1,,0.49,3.6,3.6,<1.0,,0.6,,<1.0,0.005,<0.005,<0.001,0.004,0.006,,,0.024,<0.0001,<0.0001,<0.010,<0.003,,<0.050,<0.0001,0.635,,<0.001,<0.001,0.0008,0.04,0.001,,0.399,<0.005,<0.00005,<0.001,0.003,,,<0.0005,,0.00001,,,,,,,,,,0.00003,<0.005,<0.001,,,,,,,,,,,,
