Stream,Year,Date,Month,Lab ID,Conductivity,TDS,Hardness,pH,TSS,IB,Turbidity,Alkalinity,Bicarbonate,Carbonate,Hydroxide,Chloride,Fluoride,Sulphate,AmmoniaN,NitrateN,NitriteN,Orthophosphate ,Phosphorus,TKN,Aluminum,Antimony ,Arsenic,Barium ,Beryllium,Bismuth,Boron ,Cadmium,Calcium,Cesium,Chromium,Cobalt,Copper,Iron,Lead,Lithium,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Potassium,Rubidium,Selenium,Silicon,Silver,Sodium,Strontium,Sulfur,Tellurium,Thallium,Thorium,Tin,Titanium,Tungsten,Uranium,Vanadium,Zinc,Zirconium,TOC,Notes
Kodiak-Little,2013,8-Jun-13,June,L1315039-7,25.5,18.5,8.72,6.92,<3.0,,2.11,6.2,6.2,<2.0,<2.0,0.76,,3.54,<0.0050,0.0312,<0.0010,<0.0010,0.0108,0.24,0.104,<0.00010,0.000281,0.0105,<0.000010,,<0.0050,<0.000010,1.51,,0.00034,0.00028,0.0015,0.231,0.000041,,1.2,0.0224,<0.000010,0.0001,0.00345,1.06,,<0.000040,0.691,<0.000010,0.946,0.013,,,,,,,,0.000094,0.00022,0.002,,5.3,
Kodiak-Little,2013,8-Jun-13,June,L1315039-8,25.4,18.8,8.94,7,<3.0,,2.21,6.2,6.2,<2.0,<2.0,0.76,,3.55,<0.0050,0.0316,<0.0010,<0.0010,0.0106,0.23,0.104,<0.00010,0.000265,0.0106,<0.000010,,<0.0050,<0.000010,1.59,,0.00033,0.00031,0.00213,0.233,0.000042,,1.21,0.0224,<0.000010,0.000093,0.0035,1.07,,<0.000040,0.682,<0.000010,0.944,0.0137,,,,,,,,0.0001,0.000221,0.0022,,5.45,
Leslie-Moose,2013,8-Jun-13,June,L1315039-9,173,96.3,23.5,7.15,<3.0,,1.1,12.7,12.7,<2.0,<2.0,24.2,,25.5,0.014,0.482,0.0017,<0.0010,0.0086,0.19,0.0511,0.0003,0.000256,0.0194,<0.000010,,0.009,<0.000010,5.45,,0.00018,<0.00010,0.00063,0.072,0.000018,,2.4,0.0113,<0.000010,0.0147,0.00175,5.98,,0.000069,0.246,<0.000010,19.3,0.118,,,,,,,,0.000133,0.00015,<0.0010,,3.57,
Leslie-Moose,2013,8-Jun-13,June,L1315039-10,173,96.9,23.6,7.29,<3.0,,0.96,13.5,13.5,<2.0,<2.0,24.1,,25.5,0.0149,0.486,0.0023,<0.0010,0.0082,0.19,0.0533,0.0003,0.000255,0.0192,<0.000010,,0.009,<0.000010,5.48,,0.00019,<0.00010,0.0006,0.072,0.000016,,2.42,0.0111,<0.000010,0.0148,0.00178,6.04,,0.000072,0.249,<0.000010,19.5,0.119,,,,,,,,0.000129,0.000154,<0.0010,,3.48,
Moose-Nero,2013,8-Jun-13,June,L1315039-11,56.1,34.6,10.7,7.03,<3.0,,1.52,7.2,7.2,<2.0,<2.0,6.25,,7.92,0.0071,0.0823,0.0014,<0.0010,0.0112,0.238,0.0793,<0.00010,0.000211,0.0105,<0.000010,,<0.0050,<0.000010,2.26,,0.00024,0.00011,0.00117,0.16,0.000031,,1.23,0.0105,<0.000010,0.00355,0.002,2.09,,<0.000040,0.486,<0.000010,5.04,0.0395,,,,,,,,0.000111,0.000181,0.001,,4.86,
Moose-Nero,2013,8-Jun-13,June,L1315039-12,56.3,34.6,10.7,7.02,<3.0,,1.48,7.2,7.2,<2.0,<2.0,6.22,,7.86,0.006,0.0822,<0.0010,<0.0010,0.0112,0.243,0.09,<0.00010,0.000236,0.0105,0.000012,,<0.0050,<0.000010,2.25,,0.0003,0.00013,0.00121,0.191,0.000032,,1.23,0.0109,<0.000010,0.00357,0.00206,2.12,,0.000048,0.476,<0.000010,5.11,0.0397,,,,,,,,0.000114,0.000184,<0.0010,,4.87,
Nanuq Outflow,2013,8-Jun-13,June,L1315039-1,9.1,7,3.66,6.04,<3.0,,0.26,2.8,2.8,<2.0,<2.0,<0.50,,1.2,<0.0050,0.0114,<0.0010,<0.0010,0.004,0.097,0.0154,<0.00010,0.000103,0.00163,<0.000010,,<0.0050,<0.000010,0.845,,<0.00010,<0.00010,0.00045,0.025,<0.000010,,0.376,0.00495,<0.000010,<0.000050,0.00036,0.285,,<0.000040,0.143,<0.000010,0.384,0.00413,,,,,,,,0.000019,<0.000050,<0.0010,,2.11,
Nanuq Outflow,2013,8-Jun-13,June,L1315039-2,9.1,5.4,4,6.08,<3.0,,0.28,<2.0,<2.0,<2.0,<2.0,<0.50,,1.21,<0.0050,0.0114,<0.0010,<0.0010,0.0041,0.097,0.016,<0.00010,0.000101,0.00161,<0.000010,,0.0084,<0.000010,0.977,,<0.00010,<0.00010,0.00042,0.024,0.000015,,0.378,0.00484,<0.000010,<0.000050,0.000364,0.288,,<0.000040,0.148,<0.000010,0.388,0.0042,,,,,,,,0.00002,<0.000050,<0.0010,,2.05,
Slipper-Lac de Gras,2013,8-Jun-13,June,L1315039-13,157,87.4,24.9,7.22,<3.0,,0.89,11.9,11.9,<2.0,<2.0,22.4,,22.8,<0.0050,0.258,<0.0010,<0.0010,0.0102,0.207,0.0565,0.00013,0.000251,0.0166,<0.000010,,0.0062,<0.000010,5.51,,0.00016,0.00016,0.00089,0.144,0.000023,,2.71,0.0264,0.000065,0.00749,0.0014,5.07,,0.00004,0.331,<0.000010,15.8,0.1,,,,,,,,0.000121,0.000108,<0.0010,,4.63,
Slipper-Lac de Gras,2013,8-Jun-13,June,L1315039-14,155,87.6,25,7.24,<3.0,,0.85,12,12,<2.0,<2.0,22.3,,22.8,0.0061,0.258,0.0013,<0.0010,0.0109,0.211,0.0559,0.00013,0.000257,0.0164,<0.000010,,0.0059,<0.000010,5.5,,0.00016,0.00016,0.0009,0.118,0.000015,,2.73,0.0263,<0.000010,0.00745,0.00136,5.11,,<0.000040,0.335,<0.000010,15.9,0.101,,,,,,,,0.000116,0.000114,<0.0010,,4.65,
Vulture-Polar,2013,8-Jun-13,June,L1315039-3,10.9,10.6,3.86,6.28,<3.0,,0.56,3.1,3.1,<2.0,<2.0,<0.50,,1.34,<0.0050,<0.0050,<0.0010,<0.0010,0.0087,0.209,0.0774,<0.00010,0.000186,0.00386,<0.000010,,0.0091,<0.000010,0.618,,0.00018,0.00013,0.00122,0.081,<0.000010,,0.562,0.00357,<0.000010,<0.000050,0.00129,0.427,,<0.000040,0.478,<0.000010,0.418,0.0048,,,,,,,,0.000061,0.000102,0.001,,5.23,
Vulture-Polar,2013,8-Jun-13,June,L1315039-4,10.8,10.7,3.89,6.23,<3.0,,0.57,3.2,3.2,<2.0,<2.0,<0.50,,1.34,<0.0050,<0.0050,<0.0010,<0.0010,0.0088,0.203,0.0797,<0.00010,0.000172,0.00389,<0.000010,,<0.0050,<0.000010,0.614,,0.0002,0.00012,0.00121,0.081,0.000012,,0.573,0.00366,<0.000010,<0.000050,0.00126,0.442,,<0.000040,0.475,<0.000010,0.421,0.00475,,,,,,,,0.000064,0.000107,0.0012,,5.22,
1616-30 (LLCF),2013,9-Jun-13,June,L1315048-13,57.2,33.3,10.2,7.04,<3.0,,5.92,2.7,2.7,<2.0,<2.0,6.64,,7.92,0.0083,0.119,<0.0010,<0.0010,0.013,0.204,0.255,0.00012,0.000229,0.0135,<0.000010,,<0.0050,<0.000010,2.14,,0.00094,0.00027,0.00107,0.328,0.000055,,1.18,0.0208,<0.000010,0.00581,0.00333,2.38,,0.000045,1.03,<0.000010,6.07,0.0418,,,,,,,,0.000129,0.000736,0.0014,,4.21,
1616-30 (LLCF),2013,9-Jun-13,June,L1315048-14,58,35.5,10.2,7.03,<3.0,,5.79,6.4,6.4,<2.0,<2.0,6.64,,7.95,0.0082,0.118,<0.0010,<0.0010,0.0123,0.211,0.258,0.00012,0.000257,0.0133,<0.000010,,<0.0050,<0.000010,2.13,,0.00092,0.00027,0.00104,0.322,0.000057,,1.18,0.0205,<0.000010,0.00584,0.00342,2.39,,<0.000040,0.96,<0.000010,5.93,0.0419,,,,,,,,0.000135,0.000733,0.0012,,4.32,
AEMPFB-STR,2013,9-Jun-13,June,L1315048-3,<2.0,<1.0,<0.50,5.9,<3.0,,<0.10,<2.0,<2.0,<2.0,<2.0,<0.50,,<0.50,<0.0050,<0.0050,<0.0010,<0.0010,<0.0020,<0.050,<0.0010,<0.00010,<0.000020,<0.000050,<0.000010,,0.009,<0.000010,<0.020,,<0.00010,<0.00010,<0.00010,<0.010,<0.000010,,<0.0050,<0.000050,<0.000010,<0.000050,<0.000050,<0.050,,<0.000040,<0.050,<0.000010,<0.010,<0.00010,,,,,,,,<0.000010,<0.000050,<0.0010,,<0.50,
AEMPTB-STR,2013,9-Jun-13,June,L1315048-4,<2.0,<1.0,<0.50,5.81,<3.0,,<0.10,<2.0,<2.0,<2.0,<2.0,<0.50,,<0.50,<0.0050,<0.0050,<0.0010,<0.0010,<0.0020,<0.050,<0.0010,<0.00010,<0.000020,<0.000050,<0.000010,,0.0105,<0.000010,<0.020,,<0.00010,<0.00010,<0.00010,<0.010,<0.000010,,<0.0050,<0.000050,<0.000010,<0.000050,<0.000050,<0.050,,<0.000040,<0.050,<0.000010,0.015,<0.00010,,,,,,,,<0.000010,<0.000050,<0.0010,,<0.50,
Christine-Lac du Sauvage,2013,9-Jun-13,June,L1315048-11,47.8,32.2,17.7,7,<3.0,,0.66,7.5,7.5,<2.0,<2.0,0.78,,11.7,<0.0050,0.0139,<0.0010,<0.0010,0.0068,0.26,0.051,<0.00010,0.000406,0.00711,<0.000010,,<0.0050,<0.000010,2.29,,0.00015,0.00017,0.00118,0.068,0.000018,,2.91,0.0194,<0.000010,0.000082,0.00147,2.06,,<0.000040,0.301,<0.000010,1.71,0.0179,,,,,,,,0.000036,0.000116,<0.0010,,6.07,
Christine-Lac du Sauvage,2013,9-Jun-13,June,L1315048-12,47.6,30.8,15.9,7.01,<3.0,,0.98,7.4,7.4,<2.0,<2.0,0.78,,11.7,<0.0050,0.014,<0.0010,<0.0010,,0.271,0.0437,<0.00010,0.000345,0.00604,<0.000010,,<0.0050,<0.000010,2.27,,0.00013,0.00016,0.00101,0.069,0.000012,,2.49,0.0164,<0.000010,0.000072,0.00126,1.75,,<0.000040,0.297,<0.000010,1.46,0.0177,,,,,,,,0.000034,0.000081,<0.0010,,5.79,
Counts Outflow,2013,9-Jun-13,June,L1315048-1,13.2,10.2,4.39,6.64,<3.0,,0.68,4.3,4.3,<2.0,<2.0,<0.50,,1.24,<0.0050,<0.0050,<0.0010,<0.0010,0.0085,0.22,0.033,<0.00010,0.000266,0.00244,<0.000010,,<0.0050,<0.000010,0.724,,<0.00010,<0.00010,0.00067,0.059,0.000011,,0.626,0.00913,<0.000010,<0.000050,0.000677,0.562,,<0.000040,0.207,<0.000010,0.607,0.00501,,,,,,,,0.000027,0.000073,<0.0010,,3.74,
Counts Outflow,2013,9-Jun-13,June,L1315048-2,13.3,9.9,4.3,6.6,<3.0,,0.62,4.4,4.4,<2.0,<2.0,<0.50,,1.25,<0.0050,<0.0050,<0.0010,<0.0010,0.0082,0.224,0.0339,<0.00010,0.000252,0.00241,<0.000010,,<0.0050,<0.000010,0.705,,<0.00010,<0.00010,0.00063,0.06,0.00001,,0.616,0.00887,<0.000010,<0.000050,0.000651,0.55,,<0.000040,0.209,<0.000010,0.598,0.00488,,,,,,,,0.000026,0.000065,<0.0010,,3.44,
Cujo Outflow,2013,9-Jun-13,June,L1315048-9,169,98.6,57.3,7.37,<3.0,,1.02,18.8,18.8,<2.0,<2.0,3.14,,53,0.009,0.0086,<0.0010,<0.0010,0.0089,0.301,0.041,<0.00010,0.000465,0.0141,<0.000010,,0.0059,<0.000010,8.99,,0.00012,0.0002,0.00062,0.128,0.000028,,8.46,0.0392,<0.000010,0.000762,0.00134,4.56,,<0.000040,0.257,<0.000010,3.51,0.0875,,,,,,,,0.000119,0.000067,<0.0010,,5.42,
Cujo Outflow,2013,9-Jun-13,June,L1315048-10,170,95.2,61.8,7.38,<3.0,,1.43,8.8,8.8,<2.0,<2.0,3.15,,52.9,0.0065,0.0072,<0.0010,<0.0010,0.0099,0.295,0.0392,<0.00010,0.000522,0.0159,<0.000010,,0.0074,<0.000010,9.04,,0.00012,0.00022,0.00074,0.13,0.00002,,9.51,0.0443,<0.000010,0.000764,0.00149,5.21,,0.000047,0.261,<0.000010,4.17,0.0886,,,,,,,,0.000116,0.000096,<0.0010,,5.63,
Lower PDC,2013,9-Jun-13,June,L1315048-7,16,13.5,5.7,6.58,<3.0,,1.04,4.2,4.2,<2.0,<2.0,<0.50,,2.23,<0.0050,0.0194,<0.0010,<0.0010,0.0094,0.193,0.0932,<0.00010,0.000235,0.00585,<0.000010,,<0.0050,<0.000010,1,,0.00027,0.00015,0.002,0.108,0.000036,,0.775,0.00627,<0.000010,0.000065,0.0016,0.673,,<0.000040,0.734,<0.000010,0.572,0.00813,,,,,,,,0.000129,0.000182,0.0023,,5.41,
Lower PDC,2013,9-Jun-13,June,L1315048-8,16,12.3,5.75,6.59,<3.0,,1.25,2.8,2.8,<2.0,<2.0,<0.50,,2.23,<0.0050,0.0208,<0.0010,<0.0010,0.0098,0.214,0.093,<0.00010,0.000221,0.00578,<0.000010,,<0.0050,<0.000010,1,,0.00021,0.00015,0.00199,0.108,0.000038,,0.787,0.00626,<0.000010,0.000055,0.00168,0.674,,<0.000040,0.736,<0.000010,0.577,0.00805,,,,,,,,0.000131,0.000162,0.0023,,5.04,
Nema-Martine,2013,9-Jun-13,June,L1315048-5,132,73.8,20.8,7.16,<3.0,,1.35,10.9,10.9,<2.0,<2.0,17.7,,19.2,<0.0050,0.226,<0.0010,<0.0010,0.0109,0.217,0.0755,0.00015,0.0002,0.0159,<0.000010,,0.0066,<0.000010,4.66,,0.00023,0.0002,0.00101,0.114,0.000022,,2.21,0.0154,<0.000010,0.00843,0.00225,4.44,,0.00005,0.363,<0.000010,13.5,0.0873,,,,,,,,0.000137,0.000133,<0.0010,,4.39,
Nema-Martine,2013,9-Jun-13,June,L1315048-6,131,74.4,20.7,7.24,<3.0,,1.5,11.4,11.4,<2.0,<2.0,17.7,,19.2,<0.0050,0.225,<0.0010,<0.0010,0.0099,0.226,0.0694,0.00016,0.000212,0.0158,<0.000010,,0.0065,<0.000010,4.65,,0.00024,0.00021,0.00103,0.11,0.000027,,2.22,0.0153,<0.000010,0.00847,0.00235,4.5,,0.000049,0.368,<0.000010,13.7,0.0875,,,,,,,,0.00014,0.000129,0.0016,,4.36,
Pigeon Stream R1,2013,10-Jun-13,June,,,,,,<3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon Stream R1,2013,16-Jun-13,June,,,,,6.86,<3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616-43 (KPSF),2013,17-Jun-13,June,L1319671-1,204,,78.9,7.56,<3.0,,1.2,21.6,,,,4.26,,68.1,0.0104,0.0112,0.0014,<0.0010,0.0132,,0.0265,0.0001,0.00141,0.0167,<0.00010,,0.014,<0.000010,11.8,,<0.00050,0.00024,0.00135,0.402,<0.000050,,12,0.0197,<0.000010,0.00543,0.00344,7,,<0.00010,0.11,<0.000010,5.1,0.127,,,,,,,,0.000742,<0.0010,<0.0030,,7.81,
Pigeon Stream R1,2013,23-Jun-13,June,,,,,,<3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pigeon Stream R1,2013,30-Jun-13,June,,,,7.91,6.88,<3.0,,,,,,,,,,,,,,,,0.0616,<0.00010,0.00036,0.00627,<0.00010,,<0.010,<0.000010,1.39,,<0.00050,0.00025,0.00103,0.239,<0.000050,,1.08,0.0102,<0.000010,0.000095,0.00177,<2.0,,<0.00010,0.308,<0.000010,<2.0,0.0118,,,,,,,,0.000049,<0.0010,<0.0030,,,
1616-30 (LLCF),2013,1-Jul-13,July,L1327469-1,431,245,56.5,7.68,<3.0,,0.98,29.2,29.2,<2.0,<2.0,64.2,,68.2,<0.0050,1.71,0.0048,<0.0010,0.0057,<0.40,0.0506,0.00061,0.000397,0.0377,<0.000010,,0.019,0.000016,13.1,,0.00018,<0.00010,0.00084,0.04,<0.000010,,5.78,0.0102,<0.000010,0.0394,0.00298,14.4,,0.000164,0.297,<0.000010,50.8,0.3,,,,,,,,0.000303,0.000264,<0.0010,,3.77,
1616-30 (LLCF),2013,1-Jul-13,July,L1327469-2,432,245,56.9,7.76,<3.0,,0.97,29,29,<2.0,<2.0,64.2,,68.2,0.0052,1.72,0.0044,<0.0010,0.0046,<0.39,0.0485,0.00063,0.00041,0.0381,<0.000010,,0.0184,0.000016,13.2,,0.00016,<0.00010,0.0008,0.045,<0.000010,,5.83,0.0105,<0.000010,0.0401,0.00302,14.2,,0.000144,0.305,<0.000010,50.8,0.304,,,,,,,,0.00031,0.000265,0.0012,,3.57,
1616-43 (KPSF),2013,1-Jul-13,July,L1327469-3,258,160,101,7.77,<3.0,,1.05,29.3,29.3,<2.0,<2.0,5.43,,85.8,0.0103,0.0069,<0.0010,<0.0010,0.015,0.474,0.011,<0.00010,0.00134,0.0196,<0.000010,,0.0134,<0.000010,14.6,,<0.00010,0.00027,0.00074,0.256,<0.000010,,15.7,0.0274,<0.000010,0.0069,0.00316,8.08,,0.000088,0.175,<0.000010,5.99,0.162,,,,,,,,0.000676,0.000085,<0.0010,,6.42,
1616-43 (KPSF),2013,1-Jul-13,July,L1327469-4,257,160,101,7.77,<3.0,,1.1,29.7,29.7,<2.0,<2.0,5.42,,85,0.0095,0.0089,<0.0010,<0.0010,0.0153,0.467,0.0117,<0.00010,0.00142,0.0202,<0.000010,,0.0141,<0.000010,14.7,,<0.00010,0.00028,0.00076,0.266,<0.000010,,15.5,0.0275,<0.000010,0.00696,0.00322,8.15,,0.000095,0.194,<0.000010,6.25,0.162,,,,,,,,0.000674,0.000125,<0.0010,,6.72,
1616-30 (LLCF),2013,2-Jul-13,July,L1327468-1,563,,75.5,7.89,<3.0,,1.03,37.2,,,,83.6,,88.3,<0.0050,2.32,0.0033,<0.0010,0.0058,,0.0437,0.00082,0.00051,0.0442,<0.00010,,0.026,0.000019,17.7,,<0.00050,<0.00010,0.00101,0.037,<0.000050,,7.58,0.00874,<0.000010,0.0546,0.00366,20.8,,0.00022,0.367,<0.000010,74.9,0.383,,,,,,,,0.000415,<0.0010,<0.0030,,3.53,
AEMPFB-STR,2013,2-Jul-13,July,L1328278-7,<2.0,<1.0,<0.50,5.92,<3.0,,<0.10,<2.0,<2.0,<2.0,<2.0,<0.50,,<0.50,<0.0050,<0.0050,<0.0010,<0.0010,<0.0020,<0.050,<0.0010,<0.00010,<0.000020,<0.000050,<0.000010,,0.0061,<0.000010,<0.020,,<0.00010,<0.00010,<0.00010,<0.010,<0.000010,,<0.0050,<0.000050,<0.000010,<0.000050,<0.000050,<0.050,,<0.000040,<0.050,<0.000010,<0.010,<0.00010,,,,,,,,<0.000010,<0.000050,<0.0010,,<0.50,
AEMPTB-STR,2013,2-Jul-13,July,L1328278-8,<2.0,<1.0,<0.50,5.9,<3.0,,<0.10,<2.0,<2.0,<2.0,<2.0,<0.50,,<0.50,<0.0050,<0.0050,<0.0010,<0.0010,<0.0020,<0.050,<0.0010,<0.00010,<0.000020,<0.000050,<0.000010,,<0.0050,<0.000010,<0.020,,<0.00010,<0.00010,<0.00010,<0.010,<0.000010,,<0.0050,<0.000050,<0.000010,<0.000050,<0.000050,<0.050,,<0.000040,<0.050,<0.000010,<0.010,<0.00010,,,,,,,,<0.000010,<0.000050,<0.0010,,<0.50,
Christine-Lac du Sauvage,2013,2-Jul-13,July,L1328278-19,52.3,33.3,16.4,7.19,<3.0,,0.59,7.7,7.7,<2.0,<2.0,0.89,,13.7,0.0141,<0.0050,<0.0010,<0.0010,0.0051,0.268,0.019,<0.00010,0.000426,0.00482,<0.000010,,<0.0050,<0.000010,2.5,,<0.00010,0.00011,0.0008,0.076,<0.000010,,2.46,0.0106,<0.000010,0.000097,0.000734,1.67,,<0.000040,0.147,<0.000010,1.46,0.0199,,,,,,,,0.000027,<0.000050,<0.0010,,5.84,
Christine-Lac du Sauvage,2013,2-Jul-13,July,L1328278-20,52.1,33.4,16.3,7.18,<3.0,,0.38,7.6,7.6,<2.0,<2.0,0.89,,13.7,0.0111,<0.0050,<0.0010,<0.0010,0.0053,0.263,0.0196,<0.00010,0.00041,0.00535,<0.000010,,0.0079,<0.000010,1.98,,<0.00010,0.00014,0.00088,0.073,<0.000010,,2.75,0.0119,<0.000010,0.000095,0.00079,1.87,,<0.000040,0.14,<0.000010,1.62,0.016,,,,,,,,0.000021,0.000069,<0.0010,,5.85,
Counts Outflow,2013,2-Jul-13,July,L1328278-3,12.9,9.8,5.05,6.81,<3.0,,0.46,4.3,4.3,<2.0,<2.0,<0.50,,1.29,<0.0050,<0.0050,<0.0010,<0.0010,0.0065,0.182,0.0259,<0.00010,0.000254,0.00252,<0.000010,,0.0068,<0.000010,0.684,,<0.00010,<0.00010,0.00069,0.058,<0.000010,,0.812,0.00481,<0.000010,<0.000050,0.000522,0.763,,<0.000040,0.124,<0.000010,0.828,0.00481,,,,,,,,0.000015,0.000087,<0.0010,,2.72,
Counts Outflow,2013,2-Jul-13,July,L1328278-4,12.7,9.3,4.18,6.95,<3.0,,0.47,4.5,4.5,<2.0,<2.0,<0.50,,1.29,<0.0050,<0.0050,<0.0010,<0.0010,0.0062,0.183,0.016,<0.00010,0.000269,0.00192,<0.000010,,0.0065,<0.000010,0.69,,<0.00010,<0.00010,0.0005,0.059,<0.000010,,0.597,0.00376,<0.000010,<0.000050,0.000363,0.539,,<0.000040,0.119,<0.000010,0.611,0.00478,,,,,,,,0.000019,<0.000050,0.001,,2.8,
Cujo Outflow,2013,2-Jul-13,July,L1328278-17,194,115,69,7.6,<3.0,,0.58,21.5,21.5,<2.0,<2.0,3.65,,61,0.0107,<0.0050,<0.0010,<0.0010,0.0088,0.299,0.0123,<0.00010,0.000681,0.0138,<0.000010,,<0.0050,<0.000010,8.84,,<0.00010,<0.00010,0.00067,0.103,<0.000010,,11.4,0.0119,<0.000010,0.00117,0.001,6.11,,<0.000040,0.066,<0.000010,4.78,0.0913,,,,,,,,0.000126,0.000066,<0.0010,,6.56,
Cujo Outflow,2013,2-Jul-13,July,L1328278-18,193,117,72.4,7.6,<3.0,,0.62,21.5,21.5,<2.0,<2.0,3.65,,61,0.0141,0.008,<0.0010,<0.0010,0.0121,0.412,0.0167,<0.00010,0.000729,0.0139,<0.000010,,0.0082,<0.000010,10.2,,<0.00010,0.00011,0.00071,0.142,<0.000010,,11.4,0.0137,<0.000010,0.00133,0.00103,6.06,,0.000052,0.071,<0.000010,4.74,0.106,,,,,,,,0.000154,0.000073,<0.0010,,6.95,
Kodiak-Little,2013,2-Jul-13,July,L1328278-9,22.8,17.9,7.62,6.99,<3.0,,0.62,6,6,<2.0,<2.0,0.63,,3.41,0.0061,<0.0050,<0.0010,<0.0010,0.0062,0.241,0.0347,<0.00010,0.000275,0.00763,<0.000010,,0.0053,<0.000010,1.36,,0.00016,<0.00010,0.00155,0.075,<0.000010,,1.02,0.00393,<0.000010,0.000101,0.00198,0.978,,<0.000040,0.199,<0.000010,0.877,0.0118,,,,,,,,0.000088,0.000081,0.0012,,5.9,
Kodiak-Little,2013,2-Jul-13,July,L1328278-10,22.9,16.6,7.68,7.06,<3.0,,0.46,5.8,5.8,<2.0,<2.0,0.64,,3.41,<0.0050,<0.0050,<0.0010,<0.0010,0.0065,0.233,0.0362,<0.00010,0.000267,0.00776,<0.000010,,<0.0050,<0.000010,1.36,,0.00015,<0.00010,0.00154,0.072,<0.000010,,1.04,0.00398,<0.000010,0.000097,0.00192,0.979,,<0.000040,0.206,<0.000010,0.885,0.0118,,,,,,,,0.000086,0.000078,0.001,,4.66,
Leslie-Moose,2013,2-Jul-13,July,L1328278-11,652,373,90.9,7.86,<3.0,,0.49,43.6,43.6,<2.0,<2.0,98.7,,101,0.0153,1.82,0.0064,<0.0010,0.0071,<0.43,0.0205,0.00093,0.00047,0.0503,<0.000010,,0.0241,<0.000030,21,,0.00011,<0.00010,0.00101,0.047,<0.000010,,9.36,0.0064,<0.000010,0.0587,0.00273,23.3,,0.000202,0.114,<0.000010,81.3,0.467,,,,,,,,0.000437,0.000131,<0.0010,,4.47,
Leslie-Moose,2013,2-Jul-13,July,L1328278-12,653,377,92.6,7.9,<3.0,,0.51,43.8,43.8,<2.0,<2.0,98.8,,101,0.0151,1.82,0.0065,<0.0010,0.0076,<0.43,0.0218,0.00091,0.000479,0.0512,<0.000010,,0.0244,<0.000030,21.4,,0.00011,<0.00010,0.00099,0.045,<0.000010,,9.52,0.00604,<0.000010,0.0593,0.00266,23.8,,0.000205,0.111,<0.000010,83.4,0.469,,,,,,,,0.000438,0.000157,<0.0010,,4.47,
Moose-Nero,2013,2-Jul-13,July,L1328278-21,158,89.8,25.6,7.51,<3.0,,0.4,15,15,<2.0,<2.0,21,,22.8,0.0122,0.198,0.0015,<0.0010,0.0064,0.274,0.0216,0.00023,0.000283,0.018,<0.000010,,0.0081,<0.000010,5.66,,0.00011,<0.00010,0.00132,0.062,<0.000010,,2.8,0.00585,<0.000010,0.0143,0.00134,5.39,,0.000065,0.196,<0.000010,17.2,0.11,,,,,,,,0.000126,0.000107,<0.0010,,4.99,
Moose-Nero,2013,2-Jul-13,July,L1328278-22,158,89.4,25.6,7.52,<3.0,,0.38,15.3,15.3,<2.0,<2.0,21,,22.8,0.0113,0.199,0.0014,<0.0010,0.0062,0.293,0.0201,0.00023,0.00031,0.0179,<0.000010,,0.0148,<0.000010,5.7,,0.00011,<0.00010,0.00133,0.071,<0.000010,,2.77,0.00634,<0.000010,0.0143,0.00134,5.32,,0.000054,0.202,<0.000010,16.7,0.111,,,,,,,,0.000128,0.000098,<0.0010,,4.95,
Nanuq Outflow,2013,2-Jul-13,July,L1328278-1,11.5,7.5,3.64,6.53,<3.0,,0.31,3.2,3.2,<2.0,<2.0,<0.50,,1.64,<0.0050,<0.0050,<0.0010,<0.0010,0.0032,0.111,0.0063,<0.00010,0.000124,0.00165,<0.000010,,<0.0050,<0.000010,0.698,,<0.00010,<0.00010,0.00036,0.018,<0.000010,,0.462,0.00209,<0.000010,<0.000050,0.000119,0.382,,<0.000040,0.113,<0.000010,0.512,0.00469,,,,,,,,0.000014,<0.000050,<0.0010,,1.85,
Nanuq Outflow,2013,2-Jul-13,July,L1328278-2,11.4,7.6,3.56,6.5,<3.0,,0.35,3.2,3.2,<2.0,<2.0,<0.50,,1.63,<0.0050,<0.0050,<0.0010,<0.0010,0.0039,0.119,0.007,<0.00010,0.000119,0.00166,<0.000010,,0.0107,<0.000010,0.668,,<0.00010,<0.00010,0.00038,0.019,<0.000010,,0.46,0.00217,<0.000010,<0.000050,0.000148,0.383,,<0.000040,0.117,<0.000010,0.508,0.00462,,,,,,,,0.000016,<0.000050,<0.0010,,1.98,
Nema-Martine,2013,2-Jul-13,July,L1328278-13,341,185,51,7.55,<3.0,,0.43,25.6,25.6,<2.0,<2.0,51.3,,50.8,0.0132,0.419,0.0026,<0.0010,0.0063,0.26,0.022,0.00037,0.000283,0.0287,<0.000010,,0.0132,0.00001,12.3,,0.00011,0.00011,0.00091,0.065,<0.000010,,4.92,0.0124,<0.000010,0.0232,0.0014,10,,0.000069,0.112,<0.000010,33.6,0.242,,,,,,,,0.000159,0.000084,<0.0010,,4.66,
