Stream,Year,Date,Month,Lab ID,Conductivity,TDS,Hardness,pH,TSS,IB,Turbidity,Alkalinity,Bicarbonate,Carbonate,Hydroxide,Chloride,Fluoride,Sulphate,AmmoniaN,NitrateN,NitriteN,Orthophosphate ,Phosphorus,TKN,Aluminum,Antimony ,Arsenic,Barium ,Beryllium,Bismuth,Boron ,Cadmium,Calcium,Cesium,Chromium,Cobalt,Copper,Iron,Lead,Lithium,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Potassium,Rubidium,Selenium,Silicon,Silver,Sodium,Strontium,Sulfur,Tellurium,Thallium,Thorium,Tin,Titanium,Tungsten,Uranium,Vanadium,Zinc,Zirconium,TOC,Notes
Slipper-Lac de Gras,1997,5-Jul-97,July,,14,16,4.21,6.31,1.2,,,3,,,,,,2,0.012,<0.001,0.003,<0.001,0.007,,0.042,<0.00005,0.0002,0.0029,<0.0005,,0.001,<0.00005,0.82,,<0.0005,0.0001,0.001,0.08,<0.00005,,0.535,0.00354,<0.00001,<0.00005,0.0006,<2,,<0.001,,<0.00001,<2,0.007,,,,,,,,0.00007,<0.001,0.002,,,
Lower PDC,1997,1-Sep-97,September,,,,,6.76,24,,,,,,,,,,,,,,,,0.906,,,0.0206,,,0.05,0.0001,,,,,0.007,1.23,0.0012,,,0.0299,,0.0004,0.0045,,,,,,,0.0207,,,,,,,,0.001,,0.019,,,
Slipper-Lac de Gras,1997,4-Sep-97,September,,15,12,4.64,6.28,<1,,,4,,,,0.8,,2,0.0013,0.0036,0.0013,0.0103,0.003,,0.017,<0.00005,0.0003,0.00249,<0.0005,,0.002,<0.00005,0.87,,<0.0005,<0.0001,0.0019,0.04,0.00008,,0.636,0.00505,<0.00001,0.00005,0.0005,<2,,<0.001,,<0.00001,<2,0.0074,,,,,,,,0.00005,<0.001,<0.001,,,
Moose-Nero,1997,5-Sep-97,September,,12,12,4.78,6.43,2,,,4,,,,0.6,,1,0.0045,0.0105,0.0013,0.007,0.007,,0.026,<0.00005,0.0002,0.00284,<0.0005,,0.001,<0.00005,0.84,,<0.0005,<0.0001,0.0012,0.04,<0.00005,,0.645,0.00464,<0.00001,<0.00005,0.0005,<2,,<0.001,,<0.00001,<2,0.008,,,,,,,,0.00007,<0.001,<0.001,,,
Moose-Nero,1997,5-Sep-97,September,,15,14,4.97,6.34,2,,,4,,,,0.9,,2,0.0045,0.0048,0.0009,<0.001,0.007,,0.026,<0.00005,0.0002,0.00282,<0.0005,,0.001,<0.00005,0.92,,<0.0005,<0.0001,0.0011,0.05,<0.00005,,0.641,0.00459,<0.00001,<0.00005,0.0005,<2,,<0.001,,<0.00001,<2,0.0081,,,,,,,,0.00007,<0.001,<0.001,,,
Nema-Martine,1997,5-Sep-97,September,,15,12,4.86,6.3,1,,,4,,,,0.7,,2,0.0024,0.0022,0.0009,<0.001,0.007,,0.02,0.00008,0.0002,0.00262,<0.0005,,0.001,<0.00005,0.93,,<0.0005,<0.0001,0.001,0.04,<0.00005,,0.611,0.00645,<0.00001,<0.00005,0.0004,<2,,<0.001,,<0.00001,<2,0.0078,,,,,,,,0.00005,<0.001,<0.001,,,
Kodiak-Little,1997,6-Sep-97,September,,24,18,7.16,6.41,4,,,5,,,,1,,3,0.0053,0.0603,0.0013,0.0207,0.014,,0.055,<0.00005,0.0004,0.00557,<0.0005,,0.003,<0.00005,1.32,,<0.0005,0.0001,0.0023,0.08,<0.00005,,0.962,0.00519,<0.00001,0.0002,0.0012,<2,,<0.001,0.14,<0.00001,<2,0.0114,,,,,,,,0.00016,<0.001,0.003,,,
Vulture-Polar,1997,6-Sep-97,September,,12,10,4.33,5.86,2,,,3,,,,<0.5,,1,0.0013,0.0036,0.0013,<0.001,0.005,,0.058,<0.00005,0.0002,0.00318,<0.0005,,<0.001,<0.00005,0.75,,<0.0005,0.0001,0.0013,0.17,<0.00005,,0.607,0.00409,<0.00001,<0.00005,0.0007,<2,,<0.001,,<0.00001,<2,0.0054,,,,,,,,0.00006,<0.001,0.001,,,
Counts Outflow,1997,7-Sep-97,September,,10,<10,2.96,5.92,6,,,3,,,,<0.5,,1,0.0023,0.0056,0.0004,0.0138,0.012,0.35,0.016,<0.00005,0.0002,0.00123,<0.0005,,0.001,<0.00005,0.52,,<0.0005,<0.0001,0.0007,0.06,<0.00005,,0.419,0.00314,<0.00001,<0.00005,0.0003,<2,,<0.001,,<0.00001,<2,0.0035,,,,,,,,0.00002,<0.001,,,,
Nanuq Outflow,1997,7-Sep-97,September,,9,<10,3.1,5.87,1,,,3,,,,<0.5,,1,0.0016,0.0097,0.0013,0.0069,0.009,,0.006,<0.00005,0.0001,0.00132,<0.0005,,<0.001,<0.00005,0.66,,<0.0005,<0.0001,0.0003,0.02,<0.00005,,0.375,0.00202,<0.00001,<0.00005,0.0001,<2,,<0.001,,<0.00001,<2,0.0041,,,,,,,,0.00001,<0.001,<0.001,,,
1616-30 (LLCF),1998,1-May-98,May,,,,,6.5,1,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counts Outflow,1998,20-May-98,May,,16.1,,4,6.16,4,,0.7,,,,,,,,0.006,0.008,,<0.001,0.012,,0.0309,0.00007,0.0002,0.0025,<0.0002,,0.002,<0.00005,,,0.00054,<0.0001,0.0008,0.01,0.00009,,,0.0051,<0.00002,<0.00006,0.0012,,,<0.0001,,0.0002,,,,,,,,,,<0.00005,0.0002,0.0035,,,
Counts Outflow,1998,20-May-98,May,,20.1,,4,6.25,6,,0.8,,,,,,,,0.01,<0.006,,<0.001,0.013,,0.031,0.00011,0.0002,0.0025,<0.0002,,0.002,<0.00005,,,0.00046,<0.0001,0.0008,0.01,0.00007,,,0.0064,<0.00002,0.00009,0.001,,,<0.0001,,0.0001,,,,,,,,,,<0.00005,0.0002,0.0035,,,
Counts Outflow,1998,20-May-98,May,,18.1,,4,6.27,4,,0.8,,,,,,,,0.01,<0.006,,<0.001,0.014,,0.0302,0.00004,0.00021,0.0026,<0.0002,,0.002,<0.00005,,,0.0005,<0.0001,0.0008,0.01,0.00006,,,0.0043,<0.00002,<0.00006,0.0009,,,<0.0001,,<0.0001,,,,,,,,,,<0.00005,0.0002,0.0034,,,
Lower PDC,1998,20-May-98,May,,,,,6.5,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanuq Outflow,1998,20-May-98,May,,9.6,,2,6.16,<2,,0.4,,,,,,,,0.007,0.012,,<0.001,0.005,,0.0122,0.00008,0.00016,0.0016,<0.0002,,<0.002,<0.00005,,,0.00044,<0.0001,<0.0006,0.11,0.00007,,,0.0026,<0.00002,<0.00006,0.0007,,,<0.0001,,<0.0001,,,,,,,,,,<0.00005,0.0001,0.0035,,,
Nanuq Outflow,1998,20-May-98,May,,11.5,,2,6.21,3,,0.4,,,,,,,,0.007,0.01,,<0.001,0.004,,0.0118,0.00008,0.00015,0.0016,<0.0002,,<0.002,<0.00005,,,0.0004,<0.0001,<0.0006,<0.01,<0.00005,,,0.003,<0.00002,<0.00006,0.0008,,,<0.0001,,<0.0001,,,,,,,,,,<0.00005,0.0001,0.0036,,,
Nanuq Outflow,1998,20-May-98,May,,9.4,,2,6.18,<2,,0.4,,,,,,,,0.014,0.012,,<0.001,0.004,,0.0127,0.00013,0.00016,0.0016,<0.0002,,<0.002,<0.00005,,,0.00035,<0.0001,<0.0006,<0.01,<0.00005,,,0.0036,<0.00002,<0.00006,0.0008,,,<0.0001,,<0.0001,,,,,,,,,,<0.00005,0.0001,0.004,,,
Kodiak-Little,1998,21-May-98,May,,29,17,7.98,6.79,8,,6.8,5,,,,1.3,,3,0.048560655,0.796792027,0.02661273,0.008799329,0.04,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kodiak-Little,1998,21-May-98,May,,,,,,,,,,,,,,,,0.066916897,0.748416135,0.04342077,0.003220762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kodiak-Little,1998,21-May-98,May,,28,18,7.85,6.67,11,,6.9,5,,,,1.3,,3,0.048206537,0.860180861,0.02381139,0.005133414,0.041,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kodiak-Little,1998,21-May-98,May,,,,,,,,,,,,,,,,0.052040563,0.800128339,0.02381139,0.002264436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vulture-Polar,1998,22-May-98,May,,12.4,,4,6.02,<2,,0.7,,,,,,,,0.01,<0.006,,<0.001,0.013,,0.0844,0.00007,0.00017,0.0038,<0.0002,,<0.002,<0.00005,,,0.00057,0.0002,0.0015,0.04,<0.00005,,,0.0066,<0.00002,<0.00006,0.0017,,,<0.0001,,<0.0001,,,,,,,,,,0.00006,0.0002,0.0033,,,
Vulture-Polar,1998,22-May-98,May,,17.7,,3,6.25,2,,0.7,,,,,,,,0.005,0.008,,<0.001,0.013,,0.0839,0.00004,0.00015,0.0038,<0.0002,,<0.002,<0.00005,,,0.00056,0.0001,0.0015,0.03,<0.00005,,,0.0064,<0.00002,<0.00006,0.0018,,,<0.0001,,<0.0001,,,,,,,,,,0.00007,0.0002,0.0026,,,
Vulture-Polar,1998,22-May-98,May,,13.5,,3,6.04,4,,0.6,,,,,,,,0.003,0.009,,<0.001,0.014,,0.0844,0.00012,0.00015,0.0039,<0.0002,,<0.002,<0.00005,,,0.00057,0.0002,0.0015,0.04,<0.00005,,,0.0074,<0.00002,<0.00006,0.0017,,,<0.0001,,<0.0001,,,,,,,,,,0.00007,0.0002,0.0024,,,
