Record Number,Year,Lake,Date,SecchiDepth_m,Bottom?
,2019,Lower Exeter,1-Aug-19,10,
,2020,Lower Exeter,1-Aug-20,7.75,
,2021,Lower Exeter,25-Jul-21,6.425,
7,1994,M1,20-Aug-94,7,
38,1998,M1,6-Aug-98,8,
50,1999,M1,9-Aug-99,8.8,
67,2000,M1,1-Aug-00,8,
39,1998,M2,12-Aug-98,9,
51,1999,M2,9-Aug-99,7.6,
4,1994,Moose,20-Aug-94,6,
14,1996,Moose,27-Jul-96,7.5,
20,1997,Moose,10-Aug-97,8,
30,1998,Moose,11-Aug-98,5.5,
44,1999,Moose,7-Aug-99,5.3,
58,2000,Moose,30-Jul-00,5.8,
70,2001,Moose,3-Aug-01,6.8,
81,2002,Moose,5-Aug-02,4,
94,2003,Moose,9-Aug-03,5.5,
106,2004,Moose,10-Aug-04,7,
121,2005,Moose,9-Aug-20,7,
135,2006,Moose,5-Aug-06,7.9,
149,2007,Moose,7-Aug-07,6.5,
163,2008,Moose,29-Jul-08,9.5,
177,2009,Moose,30-Jul-09,5,
191,2010,Moose,3-Aug-10,4.9,
205,2011,Moose,3-Aug-11,5.5,
,2012,Moose,9-Aug-12,5.5,
,2013,Moose,5-Aug-13,6,
,2014,Moose,31-Jul-14,3.1,
,2015,Moose,31-Jul-15,3.9,
,2016,Moose,5-Aug-16,4,
,2017,Moose,9-Aug-17,7.2,
,2018,Moose,1-Aug-18,3.1,
,2019,Moose,12-Aug-19,5.3,
,2020,Moose,9-Aug-20,3.975,
,2021,Moose,30-Jul-21,3.825,
23,1997,Nanuq,4-Aug-97,10.4,
33,1998,Nanuq,4-Aug-98,10.7,
47,1999,Nanuq,7-Aug-99,9.4,
61,2000,Nanuq,4-Aug-00,8.1,
73,2001,Nanuq,1-Aug-01,8.8,
84,2002,Nanuq,1-Aug-02,4.5,
97,2003,Nanuq,9-Aug-03,7.5,
109,2004,Nanuq,10-Aug-04,7.8,
115,2005,Nanuq,1-Aug-20,9.1,
129,2006,Nanuq,2-Aug-06,12,
143,2007,Nanuq,11-Aug-07,7.8,
157,2008,Nanuq,8-Aug-08,8.7,
171,2009,Nanuq,30-Jul-09,7.9,
185,2010,Nanuq,6-Aug-10,6,
199,2011,Nanuq,2-Aug-11,6.5,
,2012,Nanuq,1-Aug-12,8.7,
,2013,Nanuq,3-Aug-13,12.2,
,2014,Nanuq,5-Aug-14,6.7,
,2015,Nanuq,1-Aug-15,9.3,
,2016,Nanuq,1-Aug-16,6.5,
,2017,Nanuq,2-Aug-17,12.4,
,2018,Nanuq,4-Aug-18,10.8,
,2019,Nanuq,10-Aug-19,5.8,
,2020,Nanuq,5-Aug-20,9.375,
,2021,Nanuq,28-Jul-21,6.3,
10,1995,Nema,10-Aug-95,5,
15,1996,Nema,26-Jul-96,4.8,
21,1997,Nema,10-Aug-97,3.9,
